CONTAINERNUMBER,ADDRESS,LATITUDE,LONGITUDE,FRACTION,COUNTER,FILLHEIGHT,DATE,TEMPERATURE
'3478','Rødknapplia','58.9775658','5.6920466','Restavfall','86','895','23.04.2019','17'
'3435','Rødknapplia','58.9775658','5.6920466','Bio','102','2223','10.04.2019','13'
'3009','Røyneberg gård','58.9062767','5.6697669','Papir','0','1935','23.04.2019','21'
'3017','Røyneberg gård','58.9062767','5.6697669','Bio','0','2321','13.04.2019','15'
'3004','Røyneberg gård','58.9062767','5.6697669','Restavfall','2','1335','23.04.2019','23'
'3799','Røyneberg gård',,,'Restavfall','11','60','23.04.2019','4'
'1796','Røyneberg skole','58.9034157','5.6655135','Papir-næring','28','1234','23.04.2019','1'
'1788','Røyneberg skole','58.9034157','5.6655135','Rest-næring','4','906','23.04.2019','1'
'3096','Sandal barnehage','58.9547920','5.6819248','Rest-næring','20','716','23.04.2019','19'
'3097','Sandal barnehage','58.9547920','5.6819248','Papir-næring','57','1439','23.04.2019','17'
'2166','Sandangersvingen-Skadberg','58.8863800','5.6697000','Restavfall','0','2047','23.04.2019','1'
'2141','Sandangersvingen-Skadberg','58.8863800','5.6697000','Papir','2','2099','23.04.2019','1'
'2158','Sandangersvingen-Skadberg','58.8863800','5.6697000','Bio','0','1498','23.04.2019','1'
'3599','Sande skole','58.8890686','5.6546864','Papir-næring','9','1858','23.04.2019','17'
'1439','Sande skole','58.8890686','5.6546864','Rest-næring','2','2301','23.04.2019','13'
'1752','Sandesletta 100','58.8901177','5.6520967','Glass/metall','0','2061','23.04.2019','17'
'1636','Sandesletta 100','58.8901177','5.6520967','Papir','1','2301','23.04.2019',' '
'1394','Sandesletta 100','58.8901177','5.6520967','Bio','0','2266','13.04.2019','17'
'1571','Sandesletta 100','58.8901177','5.6520967','Restavfall','0','467','23.04.2019','21'
'3174','Sandnes brannstasjon','58.8565067','5.7095450','Rest-næring','3','1020','23.04.2019','23'
'3210','Sandnes brannstasjon','58.8565067','5.7095450','Papir-næring','0','1412','23.04.2019','23'
'3208','Sandnes brannstasjon','58.8565067','5.7095450','Rest-næring','1','1493','23.04.2019','25'
'3178','Sandnes brannstasjon','58.8565067','5.7095450','Rest-næring','3','1369','23.04.2019',' '
'2377','Sandnes Helsestasjon','58.8543908','5.7357747','Rest-næring','80','982','23.04.2019','21'
'2396','Sandnes Helsestasjon','58.8543908','5.7357747','Papir-næring','35','1952','23.04.2019','23'
'1703','Sandnes Helsestasjon','58.8543908','5.7357747','Bio-næring','29','2197','23.04.2019','21'
'3794','Sandnes Rådhus',,,'Rest-næring','13','2359','23.04.2019','35'
'3800','Sandnes Rådhus',,,'Rest-næring','7','2359','23.04.2019',' '
'3801','Sandnes Rådhus',,,'Papir-næring','2','60','23.04.2019','40'
'3797','Sandnes Rådhus',,,'Papir-næring','1','2359','23.04.2019',' '
'2298','Sandneshallen','58.8424416','5.7152481','Papir-næring','66','1583','23.04.2019','19'
'2658','Sandneshallen','58.8424416','5.7152481','Rest-næring','19','1694','23.04.2019','19'
'3396','Sandnesporten','58.8508415','5.7310548','Restavfall','163','1201','23.04.2019','23'
'762','Sandnesporten','58.8508415','5.7310548','Bio','43','2301','23.04.2019','21'
'2044','Sandnesporten','58.8508415','5.7310548','Papir','95','2012','23.04.2019','1'
'3501','Sandsgårdveien','58.8379967','5.7245083','Restavfall','111','2266','23.04.2019','15'
'2786','Sandsgårdveien','58.8379967','5.7245083','Papir','79','1548','23.04.2019','19'
'2018','Sandsgårdveien','58.8379967','5.7245083','Bio','252','1250','23.04.2019','19'
'1623','Sandsgårdveien',,,'Glass/metall','105','1367','22.04.2019','19'
'2552','Sandtuene velf.','58.8960724','5.7129731','Papir','45','1634','23.04.2019','21'
'3391','Sandtuene velf.','58.8960724','5.7129731','Bio','78','2223','17.04.2019','31'
'3495','Sandtuene velf.','58.8960724','5.7129731','Restavfall','152','849','23.04.2019','21'
'1061','Sandved Vest - 1','58.8433380','5.7051334','Bio','145','0','23.04.2019','1'
'2022','Sandved Vest - 1','58.8433380','5.7051334','Papir','46','1433','17.04.2019','17'
'2960','Sandved vest - 1','58.8433380','5.7051334','Restavfall','34','1312','23.04.2019','21'
'488','Sandved vest - 2','58.8416950','5.7056917','Papir','61','2070','23.04.2019','19'
'3277','Sandved vest - 2','58.8416950','5.7056917','Bio','119','1078','11.04.2019','17'
'2002','Sandved vest - 2','58.8416950','5.7056917','Restavfall','171','1325','23.04.2019',' '
'2041','Sandvedmarka - 2','58.8395150','5.7208983','Restavfall','129','583','23.04.2019','23'
'2446','Sandvedmarka - 2','58.8395150','5.7208983','Restavfall','88','2041','23.04.2019','19'
'2029','Sandvedmarka - 2','58.8395150','5.7208983','Papir','63','1151','23.04.2019','1'
'2056','Sandvedmarka - 2','58.8395150','5.7208983','Bio','208','2223','29.03.2019','1'
'2052','Sandvedmarka - 2','58.8395150','5.7208983','Glass/metall','94','1361','23.04.2019','19'
'1170','Sandvedmarkå','58.8380661','5.7201218','Bio','302','2223','29.03.2019','15'
'1220','Sandvedmarkå','58.8380661','5.7201218','Papir','64','1475','23.04.2019','21'
'1229','Sandvedmarkå','58.8380661','5.7201218','Restavfall','198','680','23.04.2019',' '
'1512','Sandvedparken','58.8347883','5.7210950','Restavfall','182','847','23.04.2019','21'
'1500','Sandvedparken','58.8347883','5.7210950','Papir','48','1661','20.04.2019','19'
'1290','Sandvedparken','58.8347883','5.7210950','Bio','175','2223','12.04.2019',' '
'2316','Sandvedparken - 2','58.8338133','5.7208017','Restavfall','82','2266','23.04.2019',' '
'2310','Sandvedparken - 2','58.8338133','5.7208017','Papir','62','2204','23.04.2019','23'
'2819','Sandvedparken - 2','58.8338133','5.7208017','Bio','38','1743','23.04.2019','25'
'1456','Sandvigå - 1','58.8702316','5.7682834','Bio','73','1549','23.04.2019','21'
'3328','Sandvigå - 1','58.8702316','5.7682834','Papir','38','2037','23.04.2019','21'
'2241','Sandvigå - 1','58.8702316','5.7682834','Restavfall','162','886','23.04.2019','23'
'538','Sandvigå - 2','58.8694382','5.7690968','Papir','38','1697','23.04.2019','17'
'271','Sandvigå - 2','58.8694382','5.7690968','Restavfall','154','1102','23.04.2019','19'
'185','Sandvigå - 2','58.8694382','5.7690968','Bio','133','0','23.04.2019','17'
'2839','Sandvigå - 3','58.8703900','5.7701417','Bio','105','2223','23.04.2019','17'
'167','Sandvigå - 3','58.8703900','5.7701417','Restavfall','125','1099','23.04.2019','19'
'1557','Sandvigå - 3','58.8703900','5.7701417','Papir','19','252','18.04.2019','19'
'2659','Sandvigå 4-Bjørkåsen','58.8709433','5.7704317','Restavfall','87','2223','23.04.2019','23'
'1414','Sandvigå 4-Bjørkåsen','58.8709433','5.7704317','Bio','93','1411','23.04.2019','21'
'2450','Sandvigå 4-Bjørkåsen','58.8709433','5.7704317','Papir','22','1052','23.04.2019','21'
